time_s,phase,dP,p17,p18,dVQ_V,loop_gain,polarization_gain,sense_margin_V,vt_shift_V,id_proxy,refresh_needed
0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.16,-0.12,0.0,0.0,1.0
5e-08,1.0,0.1331221002498184,0.0665610501249092,-0.0665610501249092,0.021299536039970948,0.25,0.16,-0.09870046396002904,0.04659273508743644,0.04792395608993463,1.0
1e-07,1.0,0.248522706924714,0.124261353462357,-0.124261353462357,0.03976363310795424,0.25,0.16,-0.08023636689204575,0.0869829474236499,0.08946817449289704,1.0
1.5e-07,1.0,0.3485609424689444,0.1742804712344722,-0.1742804712344722,0.05576975079503111,0.25,0.16,-0.06423024920496889,0.12199632986413055,0.12548193928882,1.0
2e-07,1.0,0.4352818779922407,0.21764093899612036,-0.21764093899612036,0.06964510047875852,0.25,0.16,-0.050354899521241475,0.15234865729728425,0.15670147607720666,1.0
2.5e-07,1.0,0.5104583404430469,0.25522917022152347,-0.25522917022152347,0.08167333447088751,0.25,0.16,-0.038326665529112486,0.17866041915506642,0.1837650025594969,1.0
3e-07,1.0,0.57562715432305,0.287813577161525,-0.287813577161525,0.092100344691688,0.25,0.16,-0.027899655308311996,0.20146950401306749,0.207225775556298,1.0
3.5e-07,1.0,0.6321205588285577,0.31606027941427883,-0.31606027941427883,0.10113928941256922,0.25,0.16,-0.018860710587430773,0.22124219558999517,0.22756340117828075,1.0
4e-07,1.0,0.6810934426760296,0.3405467213380148,-0.3405467213380148,0.10897495082816473,0.25,0.16,-0.011025049171835263,0.23838270493661032,0.24519363936337063,1.0
4.5e-07,1.0,0.7235469533704357,0.36177347668521787,-0.36177347668521787,0.11576751253926972,0.25,0.16,-0.00423248746073028,0.2532414336796525,0.26047690321335687,1.0
5e-07,1.0,0.7603489635582242,0.3801744817791121,-0.3801744817791121,0.12165583416931589,0.25,0.16,0.0016558341693158896,0.2661221372453785,0.27372562688096075,0.0
